Study_ID,ES_ID,Title,Year,Authors,Outcome_Name,Outcome_Dimension,Blooms_Level,n_Treatment,n_Control,M_Treatment,SD_Treatment,M_Control,SD_Control,Hedges_g,SE_g,Verification_Status,Verification_Confidence,Data_Tier
4,004_08,"AI Chatbots in Medical Education: Exploring Performance, Utility, and Learner Perceptions – A Mixed Methods Study",2025.0,Isaac Sung Him Ng; Anthony Siu; Chul Hwan Han; Oscar Sing Him Ho; Jonathan Sun; Anatoliy Markiv; Stuart Knight; Mandeep Gill Sagoo,Ease of Understanding - Arm 2,cognitive,understand,20.0,20.0,4.4,0.84,2.0,0.82,2.8339,0.4476,NOT_CHECKED,0.0,3
4,004_09,"AI Chatbots in Medical Education: Exploring Performance, Utility, and Learner Perceptions – A Mixed Methods Study",2025.0,Isaac Sung Him Ng; Anthony Siu; Chul Hwan Han; Oscar Sing Him Ho; Jonathan Sun; Anatoliy Markiv; Stuart Knight; Mandeep Gill Sagoo,Engagement - Arm 1,affective,,20.0,20.0,3.6,0.97,2.7,0.82,0.9822,0.3348,NOT_CHECKED,0.0,3
4,004_10,"AI Chatbots in Medical Education: Exploring Performance, Utility, and Learner Perceptions – A Mixed Methods Study",2025.0,Isaac Sung Him Ng; Anthony Siu; Chul Hwan Han; Oscar Sing Him Ho; Jonathan Sun; Anatoliy Markiv; Stuart Knight; Mandeep Gill Sagoo,Engagement - Arm 2,affective,,20.0,20.0,4.2,0.63,3.2,0.82,1.3404,0.3499,NOT_CHECKED,0.0,3
4,004_11,"AI Chatbots in Medical Education: Exploring Performance, Utility, and Learner Perceptions – A Mixed Methods Study",2025.0,Isaac Sung Him Ng; Anthony Siu; Chul Hwan Han; Oscar Sing Him Ho; Jonathan Sun; Anatoliy Markiv; Stuart Knight; Mandeep Gill Sagoo,Task 1 Performance - Arm 1 vs Arm 2,cognitive,apply,20.0,20.0,71.43,15.06,54.29,23.13,0.8608,0.3305,NOT_CHECKED,0.0,3
4,004_12,"AI Chatbots in Medical Education: Exploring Performance, Utility, and Learner Perceptions – A Mixed Methods Study",2025.0,Isaac Sung Him Ng; Anthony Siu; Chul Hwan Han; Oscar Sing Him Ho; Jonathan Sun; Anatoliy Markiv; Stuart Knight; Mandeep Gill Sagoo,Task 2 Performance - Arm 2 vs Arm 1,cognitive,apply,20.0,20.0,63.33,18.92,68.33,26.59,-0.2124,0.3171,NOT_CHECKED,0.0,3
5,005_01,ChatGPT for Operating Systems: Higher-Order Thinking in Focus,2025.0,Mohammed Ahmed Kofahi; A. Husain,HOT tasks performance,cognitive,analyze,23.0,30.0,28.74,9.896,23.1,8.486,0.6092,0.2834,NOT_CHECKED,0.0,3
6,006_01,Cognitive Offload Instruction with Generative AI: A Quasi‑Experimental Study on Critical Thinking Gains in English Writing,2025.0,Hui Hong; Poonsri Vate-U-Lan; Chantana Viriyavejakul,critical thinking gains,cognitive,evaluate,120.0,120.0,78.6,8.4,66.3,9.1,1.4002,0.1441,OCR_VERIFIED,100.0,1
6,006_02,Cognitive Offload Instruction with Generative AI: A Quasi‑Experimental Study on Critical Thinking Gains in English Writing,2025.0,Hui Hong; Poonsri Vate-U-Lan; Chantana Viriyavejakul,logical coherence,cognitive,analyze,120.0,120.0,4.2,0.5,3.5,0.6,1.3059,,OCR_VERIFIED,100.0,1
6,006_03,Cognitive Offload Instruction with Generative AI: A Quasi‑Experimental Study on Critical Thinking Gains in English Writing,2025.0,Hui Hong; Poonsri Vate-U-Lan; Chantana Viriyavejakul,evidence use,cognitive,evaluate,120.0,120.0,4.0,0.6,3.2,0.7,1.1962,,OCR_VERIFIED,100.0,1
6,006_04,Cognitive Offload Instruction with Generative AI: A Quasi‑Experimental Study on Critical Thinking Gains in English Writing,2025.0,Hui Hong; Poonsri Vate-U-Lan; Chantana Viriyavejakul,originality,cognitive,create,120.0,120.0,3.9,0.6,3.1,0.8,1.1165,,OCR_VERIFIED,100.0,1
6,006_05,Cognitive Offload Instruction with Generative AI: A Quasi‑Experimental Study on Critical Thinking Gains in English Writing,2025.0,Hui Hong; Poonsri Vate-U-Lan; Chantana Viriyavejakul,lexical sophistication,cognitive,apply,120.0,120.0,55.2,5.4,48.6,6.1,0.9669,,OCR_VERIFIED,100.0,1
6,006_06,Cognitive Offload Instruction with Generative AI: A Quasi‑Experimental Study on Critical Thinking Gains in English Writing,2025.0,Hui Hong; Poonsri Vate-U-Lan; Chantana Viriyavejakul,syntactic complexity,cognitive,apply,120.0,120.0,40.1,4.8,34.7,5.2,0.8772,,OCR_VERIFIED,100.0,1
6,006_07,Cognitive Offload Instruction with Generative AI: A Quasi‑Experimental Study on Critical Thinking Gains in English Writing,2025.0,Hui Hong; Poonsri Vate-U-Lan; Chantana Viriyavejakul,text cohesion,cognitive,analyze,120.0,120.0,4.1,0.5,3.4,0.7,1.266,,OCR_VERIFIED,100.0,1
6,006_08,Cognitive Offload Instruction with Generative AI: A Quasi‑Experimental Study on Critical Thinking Gains in English Writing,2025.0,Hui Hong; Poonsri Vate-U-Lan; Chantana Viriyavejakul,cognitive offloading behavior,behavioral,,120.0,120.0,,,,,,,OCR_VERIFIED,100.0,1
7,007_01,Cross-lingual effects of AI-generated content on human work,2025.0,Wesley Wu-Yi Koo,,,,,,,,,,,,OCR_VERIFIED,100.0,1
8,008_01,Development and validation of a competency-based ladder pathway for AI literacy enhancement among higher vocational students,2025.0,Litian Hong,Cognitive competency,cognitive,understand,210.0,210.0,4.1,0.5,2.3,0.6,3.2534,0.1487,PARTIALLY_VERIFIED,50.0,2
