Study_ID,ES_ID,Title,Year,Authors,Outcome_Name,Outcome_Dimension,Blooms_Level,n_Treatment,n_Control,M_Treatment,SD_Treatment,M_Control,SD_Control,Hedges_g,SE_g,Verification_Status,Verification_Confidence,Data_Tier
21,021_10,"Human–Machine Cocreation: The Effects of ChatGPT on Students’ Learning Performance, AI Awareness, Critical Thinking, and Cognitive Load in a STEM Course Toward Entrepreneurship",2025.0,Yu Ji; Zehui Zhan; Tingting Li; Xuanxuan Zou; Siyuan Lyu,critical thinking - analyticity,cognitive,analyze,21.0,15.0,12.52,0.98,14.0,1.1,-1.4035,0.3764,OCR_VERIFIED,100.0,1
21,021_11,"Human–Machine Cocreation: The Effects of ChatGPT on Students’ Learning Performance, AI Awareness, Critical Thinking, and Cognitive Load in a STEM Course Toward Entrepreneurship",2025.0,Yu Ji; Zehui Zhan; Tingting Li; Xuanxuan Zou; Siyuan Lyu,critical thinking - systematicity,cognitive,evaluate,21.0,15.0,30.81,2.8,32.53,4.7,-0.4542,0.3423,OCR_VERIFIED,100.0,1
21,021_12,"Human–Machine Cocreation: The Effects of ChatGPT on Students’ Learning Performance, AI Awareness, Critical Thinking, and Cognitive Load in a STEM Course Toward Entrepreneurship",2025.0,Yu Ji; Zehui Zhan; Tingting Li; Xuanxuan Zou; Siyuan Lyu,critical thinking - inquisitiveness,cognitive,evaluate,21.0,15.0,27.9,3.0,30.87,2.5,-1.0353,0.3594,OCR_VERIFIED,100.0,1
21,021_13,"Human–Machine Cocreation: The Effects of ChatGPT on Students’ Learning Performance, AI Awareness, Critical Thinking, and Cognitive Load in a STEM Course Toward Entrepreneurship",2025.0,Yu Ji; Zehui Zhan; Tingting Li; Xuanxuan Zou; Siyuan Lyu,critical thinking - open-mindedness,cognitive,evaluate,21.0,15.0,30.19,2.7,32.33,2.2,-0.8349,0.3521,OCR_VERIFIED,100.0,1
21,021_14,"Human–Machine Cocreation: The Effects of ChatGPT on Students’ Learning Performance, AI Awareness, Critical Thinking, and Cognitive Load in a STEM Course Toward Entrepreneurship",2025.0,Yu Ji; Zehui Zhan; Tingting Li; Xuanxuan Zou; Siyuan Lyu,cognitive load,metacognitive,,21.0,15.0,,,,,,,OCR_VERIFIED,100.0,1
22,022_01,Impact of Artificial Intelligence Generated Feedback on Math Quiz Scores,2025.0,Larissa I. Velez; Christian Alis; Christopher Monterola; Erika Fille Legara; David Stanley,Math Quiz Score Improvement - Schoolwide,cognitive,apply,,,12.6,11.8,7.9,12.7,,,MANUAL_VERIFIED,100.0,1
22,022_02,Impact of Artificial Intelligence Generated Feedback on Math Quiz Scores,2025.0,Larissa I. Velez; Christian Alis; Christopher Monterola; Erika Fille Legara; David Stanley,Math Quiz Score Improvement - Elementary,cognitive,apply,,,13.6,11.1,7.3,12.0,,,MANUAL_VERIFIED,100.0,1
22,022_03,Impact of Artificial Intelligence Generated Feedback on Math Quiz Scores,2025.0,Larissa I. Velez; Christian Alis; Christopher Monterola; Erika Fille Legara; David Stanley,Math Quiz Score Improvement - High School,cognitive,apply,,,11.6,12.5,8.5,13.5,,,MANUAL_VERIFIED,100.0,1
22,022_04,Impact of Artificial Intelligence Generated Feedback on Math Quiz Scores,2025.0,Larissa I. Velez; Christian Alis; Christopher Monterola; Erika Fille Legara; David Stanley,Math Quiz Score Improvement - Grade 1,cognitive,apply,,,16.9,12.0,9.0,6.3,,,MANUAL_VERIFIED,100.0,1
22,022_05,Impact of Artificial Intelligence Generated Feedback on Math Quiz Scores,2025.0,Larissa I. Velez; Christian Alis; Christopher Monterola; Erika Fille Legara; David Stanley,Math Quiz Score Improvement - Grade 4,cognitive,apply,,,15.6,11.0,5.8,13.7,,,MANUAL_VERIFIED,100.0,1
22,022_06,Impact of Artificial Intelligence Generated Feedback on Math Quiz Scores,2025.0,Larissa I. Velez; Christian Alis; Christopher Monterola; Erika Fille Legara; David Stanley,Math Quiz Score Improvement - Grade 5,cognitive,apply,,,10.7,11.5,8.7,11.3,,,MANUAL_VERIFIED,100.0,1
22,022_07,Impact of Artificial Intelligence Generated Feedback on Math Quiz Scores,2025.0,Larissa I. Velez; Christian Alis; Christopher Monterola; Erika Fille Legara; David Stanley,Math Quiz Score Improvement - Grade 6,cognitive,apply,,,11.2,11.1,1.0,11.2,,,MANUAL_VERIFIED,100.0,1
22,022_08,Impact of Artificial Intelligence Generated Feedback on Math Quiz Scores,2025.0,Larissa I. Velez; Christian Alis; Christopher Monterola; Erika Fille Legara; David Stanley,Math Quiz Score Improvement - Grade 7,cognitive,apply,,,7.5,14.3,13.0,13.6,,,MANUAL_VERIFIED,100.0,1
22,022_09,Impact of Artificial Intelligence Generated Feedback on Math Quiz Scores,2025.0,Larissa I. Velez; Christian Alis; Christopher Monterola; Erika Fille Legara; David Stanley,Math Quiz Score Improvement - Grade 8,cognitive,apply,,,9.2,9.5,9.7,10.8,,,MANUAL_VERIFIED,100.0,1
22,022_10,Impact of Artificial Intelligence Generated Feedback on Math Quiz Scores,2025.0,Larissa I. Velez; Christian Alis; Christopher Monterola; Erika Fille Legara; David Stanley,Math Quiz Score Improvement - Grade 9,cognitive,apply,,,10.8,11.3,-0.9,8.8,,,MANUAL_VERIFIED,100.0,1
22,022_11,Impact of Artificial Intelligence Generated Feedback on Math Quiz Scores,2025.0,Larissa I. Velez; Christian Alis; Christopher Monterola; Erika Fille Legara; David Stanley,Math Quiz Score Improvement - Grade 10,cognitive,apply,,,18.0,15.5,19.2,13.3,,,MANUAL_VERIFIED,100.0,1
23,023_01,Impact of Developer Queries on the Effectiveness of Conversational Large Language Models in Programming,2025.0,Viktor Taneski; Sašo Karakatič; Patrik Rek; Gregor Jošt,Feature Implementation (FI) Query Performance,cognitive,apply,32.0,5.0,0.65,3.819,1.97,4.815,-0.3273,0.4824,PARTIALLY_VERIFIED,57.1,2
23,023_02,Impact of Developer Queries on the Effectiveness of Conversational Large Language Models in Programming,2025.0,Viktor Taneski; Sašo Karakatič; Patrik Rek; Gregor Jošt,Best Practices (BP) Query Performance,cognitive,understand,4.0,33.0,1.438,2.075,0.755,4.1,0.1684,0.5298,PARTIALLY_VERIFIED,57.1,2
23,023_03,Impact of Developer Queries on the Effectiveness of Conversational Large Language Models in Programming,2025.0,Viktor Taneski; Sašo Karakatič; Patrik Rek; Gregor Jošt,Documentation (DOC) Query Performance,cognitive,understand,1.0,36.0,3.75,1.0,0.747,3.941,0.7455,1.0175,PARTIALLY_VERIFIED,57.1,2
23,023_04,Impact of Developer Queries on the Effectiveness of Conversational Large Language Models in Programming,2025.0,Viktor Taneski; Sašo Karakatič; Patrik Rek; Gregor Jošt,Concept Clarification (CC) Query Performance,cognitive,understand,27.0,10.0,0.756,3.743,1.025,4.567,-0.0663,0.3703,PARTIALLY_VERIFIED,57.1,2
23,023_05,Impact of Developer Queries on the Effectiveness of Conversational Large Language Models in Programming,2025.0,Viktor Taneski; Sašo Karakatič; Patrik Rek; Gregor Jošt,Error Fixing (EF) Query Performance,cognitive,analyze,31.0,6.0,0.287,3.508,3.625,5.044,-0.8672,0.4573,PARTIALLY_VERIFIED,57.1,2
23,023_06,Impact of Developer Queries on the Effectiveness of Conversational Large Language Models in Programming,2025.0,Viktor Taneski; Sašo Karakatič; Patrik Rek; Gregor Jošt,Code Understanding (CU) Query Performance,cognitive,understand,33.0,4.0,0.361,3.695,4.688,4.033,-1.1365,0.5457,PARTIALLY_VERIFIED,57.1,2
23,023_07,Impact of Developer Queries on the Effectiveness of Conversational Large Language Models in Programming,2025.0,Viktor Taneski; Sašo Karakatič; Patrik Rek; Gregor Jošt,Code Optimization (CO) Query Performance,cognitive,evaluate,16.0,21.0,0.219,3.158,1.293,4.429,-0.2671,0.3333,PARTIALLY_VERIFIED,57.1,2
24,024_01,Improving Student-AI Interaction Through Pedagogical Prompting: An Example in Computer Science Education,2025.0,Ruiwei Xiao; Xinying Hou; Runlong Ye; Majeed Kazemitabaar; Nicholas Diana; Michael Liut; John Stamper,Tutoring Protocols,cognitive,apply,,,0.83,,0.44,,,,OCR_VERIFIED,100.0,1
24,024_02,Improving Student-AI Interaction Through Pedagogical Prompting: An Example in Computer Science Education,2025.0,Ruiwei Xiao; Xinying Hou; Runlong Ye; Majeed Kazemitabaar; Nicholas Diana; Michael Liut; John Stamper,Difficulty Identification,cognitive,analyze,,,0.95,,0.7,,,,OCR_VERIFIED,100.0,1
24,024_03,Improving Student-AI Interaction Through Pedagogical Prompting: An Example in Computer Science Education,2025.0,Ruiwei Xiao; Xinying Hou; Runlong Ye; Majeed Kazemitabaar; Nicholas Diana; Michael Liut; John Stamper,AI's Role,cognitive,understand,,,0.62,,0.0,,,,OCR_VERIFIED,100.0,1
24,024_04,Improving Student-AI Interaction Through Pedagogical Prompting: An Example in Computer Science Education,2025.0,Ruiwei Xiao; Xinying Hou; Runlong Ye; Majeed Kazemitabaar; Nicholas Diana; Michael Liut; John Stamper,Problem Context,cognitive,understand,,,0.94,,0.77,,,,OCR_VERIFIED,100.0,1
24,024_05,Improving Student-AI Interaction Through Pedagogical Prompting: An Example in Computer Science Education,2025.0,Ruiwei Xiao; Xinying Hou; Runlong Ye; Majeed Kazemitabaar; Nicholas Diana; Michael Liut; John Stamper,Learner's Level,cognitive,understand,,,0.65,,0.08,,,,OCR_VERIFIED,100.0,1
24,024_06,Improving Student-AI Interaction Through Pedagogical Prompting: An Example in Computer Science Education,2025.0,Ruiwei Xiao; Xinying Hou; Runlong Ye; Majeed Kazemitabaar; Nicholas Diana; Michael Liut; John Stamper,Guardrails,cognitive,apply,,,0.82,,0.25,,,,OCR_VERIFIED,100.0,1
24,024_07,Improving Student-AI Interaction Through Pedagogical Prompting: An Example in Computer Science Education,2025.0,Ruiwei Xiao; Xinying Hou; Runlong Ye; Majeed Kazemitabaar; Nicholas Diana; Michael Liut; John Stamper,Tutoring Protocols,cognitive,apply,,,0.39,,0.44,,,,OCR_VERIFIED,100.0,1
24,024_08,Improving Student-AI Interaction Through Pedagogical Prompting: An Example in Computer Science Education,2025.0,Ruiwei Xiao; Xinying Hou; Runlong Ye; Majeed Kazemitabaar; Nicholas Diana; Michael Liut; John Stamper,Difficulty Identification,cognitive,analyze,,,0.26,,0.7,,,,OCR_VERIFIED,100.0,1
24,024_09,Improving Student-AI Interaction Through Pedagogical Prompting: An Example in Computer Science Education,2025.0,Ruiwei Xiao; Xinying Hou; Runlong Ye; Majeed Kazemitabaar; Nicholas Diana; Michael Liut; John Stamper,AI's Role,cognitive,understand,,,0.62,,0.0,,,,OCR_VERIFIED,100.0,1
24,024_10,Improving Student-AI Interaction Through Pedagogical Prompting: An Example in Computer Science Education,2025.0,Ruiwei Xiao; Xinying Hou; Runlong Ye; Majeed Kazemitabaar; Nicholas Diana; Michael Liut; John Stamper,Problem Context,cognitive,understand,,,0.17,,0.77,,,,OCR_VERIFIED,100.0,1
24,024_11,Improving Student-AI Interaction Through Pedagogical Prompting: An Example in Computer Science Education,2025.0,Ruiwei Xiao; Xinying Hou; Runlong Ye; Majeed Kazemitabaar; Nicholas Diana; Michael Liut; John Stamper,Learner's Level,cognitive,understand,,,0.58,,0.08,,,,OCR_VERIFIED,100.0,1
24,024_12,Improving Student-AI Interaction Through Pedagogical Prompting: An Example in Computer Science Education,2025.0,Ruiwei Xiao; Xinying Hou; Runlong Ye; Majeed Kazemitabaar; Nicholas Diana; Michael Liut; John Stamper,Guardrails,cognitive,apply,,,0.56,,0.25,,,,OCR_VERIFIED,100.0,1
25,025_01,"Integrating Peer Assessment Cycle into ChatGPT for STEM Education: A Randomised Controlled Trial on Knowledge, Skills, and Attitudes Enhancement",2025.0,Ting-Ting Wu; Hsin-Yu Lee; Pei-Hua Chen; Chia-Ju Lin; Yueh-Min Huang,Knowledge Construction,cognitive,apply,31.0,30.0,76.5,6.88,69.6,7.65,0.9372,0.2698,MANUAL_VERIFIED,100.0,1
25,025_02,"Integrating Peer Assessment Cycle into ChatGPT for STEM Education: A Randomised Controlled Trial on Knowledge, Skills, and Attitudes Enhancement",2025.0,Ting-Ting Wu; Hsin-Yu Lee; Pei-Hua Chen; Chia-Ju Lin; Yueh-Min Huang,Critical Thinking,cognitive,analyze,31.0,30.0,17.3,2.19,13.9,1.98,1.6065,0.2945,MANUAL_VERIFIED,100.0,1
25,025_03,"Integrating Peer Assessment Cycle into ChatGPT for STEM Education: A Randomised Controlled Trial on Knowledge, Skills, and Attitudes Enhancement",2025.0,Ting-Ting Wu; Hsin-Yu Lee; Pei-Hua Chen; Chia-Ju Lin; Yueh-Min Huang,Problem-solving,cognitive,apply,31.0,30.0,15.9,2.01,14.2,2.09,0.8188,0.2666,MANUAL_VERIFIED,100.0,1
25,025_04,"Integrating Peer Assessment Cycle into ChatGPT for STEM Education: A Randomised Controlled Trial on Knowledge, Skills, and Attitudes Enhancement",2025.0,Ting-Ting Wu; Hsin-Yu Lee; Pei-Hua Chen; Chia-Ju Lin; Yueh-Min Huang,Creativity,cognitive,create,31.0,30.0,11.1,1.22,10.3,0.96,0.718,0.2642,MANUAL_VERIFIED,100.0,1
25,025_05,"Integrating Peer Assessment Cycle into ChatGPT for STEM Education: A Randomised Controlled Trial on Knowledge, Skills, and Attitudes Enhancement",2025.0,Ting-Ting Wu; Hsin-Yu Lee; Pei-Hua Chen; Chia-Ju Lin; Yueh-Min Huang,Attitudes towards science,affective,,31.0,30.0,35.9,2.95,34.5,2.71,0.4876,0.2599,MANUAL_VERIFIED,100.0,1
25,025_06,"Integrating Peer Assessment Cycle into ChatGPT for STEM Education: A Randomised Controlled Trial on Knowledge, Skills, and Attitudes Enhancement",2025.0,Ting-Ting Wu; Hsin-Yu Lee; Pei-Hua Chen; Chia-Ju Lin; Yueh-Min Huang,Attitudes towards mathematics,affective,,31.0,30.0,36.6,2.86,33.1,2.3,1.329,0.283,MANUAL_VERIFIED,100.0,1
25,025_07,"Integrating Peer Assessment Cycle into ChatGPT for STEM Education: A Randomised Controlled Trial on Knowledge, Skills, and Attitudes Enhancement",2025.0,Ting-Ting Wu; Hsin-Yu Lee; Pei-Hua Chen; Chia-Ju Lin; Yueh-Min Huang,Attitudes towards engineering/technology,affective,,31.0,30.0,32.2,4.6,27.5,4.3,1.0415,0.2729,MANUAL_VERIFIED,100.0,1
25,025_08,"Integrating Peer Assessment Cycle into ChatGPT for STEM Education: A Randomised Controlled Trial on Knowledge, Skills, and Attitudes Enhancement",2025.0,Ting-Ting Wu; Hsin-Yu Lee; Pei-Hua Chen; Chia-Ju Lin; Yueh-Min Huang,Attitudes towards 21st century learning,affective,,31.0,30.0,33.6,4.49,28.0,3.87,1.3173,0.2825,MANUAL_VERIFIED,100.0,1
26,026_01,"Integrating generative AI into STEM education: enhancing conceptual understanding, addressing misconceptions, and assessing student acceptance",2025.0,,Thermodynamics Knowledge - Pretest,cognitive,understand,60.0,60.0,12.22,3.15,12.35,2.64,-0.0444,0.1826,OCR_VERIFIED,100.0,1
26,026_02,"Integrating generative AI into STEM education: enhancing conceptual understanding, addressing misconceptions, and assessing student acceptance",2025.0,,Thermodynamics Knowledge - Posttest,cognitive,understand,60.0,60.0,22.53,3.03,18.6,1.9,0.6101,,OCR_VERIFIED,100.0,1
26,026_03,"Integrating generative AI into STEM education: enhancing conceptual understanding, addressing misconceptions, and assessing student acceptance",2025.0,,Thermodynamics Learning Gains,cognitive,understand,60.0,60.0,10.31,,6.25,,,,OCR_VERIFIED,100.0,1
27,027_01,Level Up Peer Review in Education: Investigating genAI-driven Gamification system and its influence on Peer Feedback Effectiveness,2025.0,Rafal Wlodarski; Leonardo da Silva Sousa; Allison Connell Pensky,Amount of feedback given across both sessions (min 12 - number of required peer reviews),behavioral,,17.0,17.0,23.0,,16.9,,,,OCR_VERIFIED,100.0,1
27,027_02,Level Up Peer Review in Education: Investigating genAI-driven Gamification system and its influence on Peer Feedback Effectiveness,2025.0,Rafal Wlodarski; Leonardo da Silva Sousa; Allison Connell Pensky,Amount of feedback given (Session 1),behavioral,,17.0,17.0,13.6,,9.6,,,,OCR_VERIFIED,100.0,1
27,027_03,Level Up Peer Review in Education: Investigating genAI-driven Gamification system and its influence on Peer Feedback Effectiveness,2025.0,Rafal Wlodarski; Leonardo da Silva Sousa; Allison Connell Pensky,Amount of feedback given (Session 2),behavioral,,17.0,17.0,9.5,,7.3,,,,OCR_VERIFIED,100.0,1
27,027_04,Level Up Peer Review in Education: Investigating genAI-driven Gamification system and its influence on Peer Feedback Effectiveness,2025.0,Rafal Wlodarski; Leonardo da Silva Sousa; Allison Connell Pensky,Overall quality of feedback given across both sessions (max 9),cognitive,evaluate,17.0,17.0,5.6,,4.1,,,,OCR_VERIFIED,100.0,1
27,027_05,Level Up Peer Review in Education: Investigating genAI-driven Gamification system and its influence on Peer Feedback Effectiveness,2025.0,Rafal Wlodarski; Leonardo da Silva Sousa; Allison Connell Pensky,Session 1: Total quality of feedback,cognitive,evaluate,17.0,17.0,5.6,,4.1,,,,OCR_VERIFIED,100.0,1
27,027_06,Level Up Peer Review in Education: Investigating genAI-driven Gamification system and its influence on Peer Feedback Effectiveness,2025.0,Rafal Wlodarski; Leonardo da Silva Sousa; Allison Connell Pensky,Session 1: Average Clarity,cognitive,evaluate,17.0,17.0,2.6,,2.6,,,,OCR_VERIFIED,100.0,1
27,027_07,Level Up Peer Review in Education: Investigating genAI-driven Gamification system and its influence on Peer Feedback Effectiveness,2025.0,Rafal Wlodarski; Leonardo da Silva Sousa; Allison Connell Pensky,Session 1: Average Relevance,cognitive,evaluate,17.0,17.0,1.9,,1.3,,,,OCR_VERIFIED,100.0,1
27,027_08,Level Up Peer Review in Education: Investigating genAI-driven Gamification system and its influence on Peer Feedback Effectiveness,2025.0,Rafal Wlodarski; Leonardo da Silva Sousa; Allison Connell Pensky,Session 1: Average Specificity,cognitive,evaluate,17.0,17.0,1.1,,0.3,,,,OCR_VERIFIED,100.0,1
27,027_09,Level Up Peer Review in Education: Investigating genAI-driven Gamification system and its influence on Peer Feedback Effectiveness,2025.0,Rafal Wlodarski; Leonardo da Silva Sousa; Allison Connell Pensky,Session 2: Total quality of feedback,cognitive,evaluate,17.0,17.0,5.5,,4.6,,,,OCR_VERIFIED,100.0,1
27,027_10,Level Up Peer Review in Education: Investigating genAI-driven Gamification system and its influence on Peer Feedback Effectiveness,2025.0,Rafal Wlodarski; Leonardo da Silva Sousa; Allison Connell Pensky,Session 2: Average Clarity,cognitive,evaluate,17.0,17.0,2.6,,2.6,,,,OCR_VERIFIED,100.0,1
27,027_11,Level Up Peer Review in Education: Investigating genAI-driven Gamification system and its influence on Peer Feedback Effectiveness,2025.0,Rafal Wlodarski; Leonardo da Silva Sousa; Allison Connell Pensky,Session 2: Average Relevance,cognitive,evaluate,17.0,17.0,1.7,,1.5,,,,OCR_VERIFIED,100.0,1
27,027_12,Level Up Peer Review in Education: Investigating genAI-driven Gamification system and its influence on Peer Feedback Effectiveness,2025.0,Rafal Wlodarski; Leonardo da Silva Sousa; Allison Connell Pensky,Session 2: Average Specificity,cognitive,evaluate,17.0,17.0,1.1,,0.5,,,,OCR_VERIFIED,100.0,1
27,027_13,Level Up Peer Review in Education: Investigating genAI-driven Gamification system and its influence on Peer Feedback Effectiveness,2025.0,Rafal Wlodarski; Leonardo da Silva Sousa; Allison Connell Pensky,I provided honest and unbiased ratings to my peers regardless of how that impacted their grades,affective,,17.0,17.0,6.5,,6.6,,,,OCR_VERIFIED,100.0,1
27,027_14,Level Up Peer Review in Education: Investigating genAI-driven Gamification system and its influence on Peer Feedback Effectiveness,2025.0,Rafal Wlodarski; Leonardo da Silva Sousa; Allison Connell Pensky,I felt motivated to give peer feedback on the platform,affective,,17.0,17.0,5.6,,5.9,,,,OCR_VERIFIED,100.0,1
27,027_15,Level Up Peer Review in Education: Investigating genAI-driven Gamification system and its influence on Peer Feedback Effectiveness,2025.0,Rafal Wlodarski; Leonardo da Silva Sousa; Allison Connell Pensky,How would you rate the quality of open-ended feedback you received from your peers overall?,cognitive,evaluate,17.0,17.0,5.9,,6.0,,,,OCR_VERIFIED,100.0,1
27,027_16,Level Up Peer Review in Education: Investigating genAI-driven Gamification system and its influence on Peer Feedback Effectiveness,2025.0,Rafal Wlodarski; Leonardo da Silva Sousa; Allison Connell Pensky,How often did you consult the AI feedback assistant for insight into the feedback you provided?,behavioral,,17.0,17.0,5.6,,3.1,,,,OCR_VERIFIED,100.0,1
27,027_17,Level Up Peer Review in Education: Investigating genAI-driven Gamification system and its influence on Peer Feedback Effectiveness,2025.0,Rafal Wlodarski; Leonardo da Silva Sousa; Allison Connell Pensky,Do you feel that the AI feedback assistant helped you improve the quality of your open-ended feedback?,metacognitive,,17.0,17.0,5.7,,4.8,,,,OCR_VERIFIED,100.0,1
27,027_18,Level Up Peer Review in Education: Investigating genAI-driven Gamification system and its influence on Peer Feedback Effectiveness,2025.0,Rafal Wlodarski; Leonardo da Silva Sousa; Allison Connell Pensky,"Overall, I found my experience on the platform enjoyable",affective,,17.0,17.0,5.6,,5.6,,,,OCR_VERIFIED,100.0,1
27,027_19,Level Up Peer Review in Education: Investigating genAI-driven Gamification system and its influence on Peer Feedback Effectiveness,2025.0,Rafal Wlodarski; Leonardo da Silva Sousa; Allison Connell Pensky,Using the platform helped me improve my skills in giving feedback,metacognitive,,17.0,17.0,5.9,,5.6,,,,OCR_VERIFIED,100.0,1
28,028_01,PROMOTING TEACHERS' USE OF CHATGPT: A CASE STUDY ON GENERATING REAL-WORLD PROBLEMS IN 10TH GRADE ALGEBRA INSTRUCTION,2025.0,Tuan Cong Le; Nguyen Dat Minh; Minh Dũng Tăng; Van Trinh; Nhut Minh Nguyen,Perceived Enjoyment (PE),affective,,33.0,,4.36,0.552,3.71,0.58,,,OCR_VERIFIED,100.0,1
28,028_02,PROMOTING TEACHERS' USE OF CHATGPT: A CASE STUDY ON GENERATING REAL-WORLD PROBLEMS IN 10TH GRADE ALGEBRA INSTRUCTION,2025.0,Tuan Cong Le; Nguyen Dat Minh; Minh Dũng Tăng; Van Trinh; Nhut Minh Nguyen,Perceived Usefulness (PU),affective,,33.0,,4.4,0.583,3.86,0.6,,,OCR_VERIFIED,100.0,1
28,028_03,PROMOTING TEACHERS' USE OF CHATGPT: A CASE STUDY ON GENERATING REAL-WORLD PROBLEMS IN 10TH GRADE ALGEBRA INSTRUCTION,2025.0,Tuan Cong Le; Nguyen Dat Minh; Minh Dũng Tăng; Van Trinh; Nhut Minh Nguyen,Perceived Ease of Use (PEU),affective,,33.0,,4.03,0.621,3.51,0.498,,,OCR_VERIFIED,100.0,1
28,028_04,PROMOTING TEACHERS' USE OF CHATGPT: A CASE STUDY ON GENERATING REAL-WORLD PROBLEMS IN 10TH GRADE ALGEBRA INSTRUCTION,2025.0,Tuan Cong Le; Nguyen Dat Minh; Minh Dũng Tăng; Van Trinh; Nhut Minh Nguyen,Behavioral Intention (BI),behavioral,,33.0,,4.41,0.569,4.15,0.593,,,OCR_VERIFIED,100.0,1
29,029_01,Resurrecting Socrates in the Age of AI: A Study Protocol for Evaluating a Socratic Tutor to Support Research Question Development in Higher Education,2025.0,Ben Degen,,,,,,,,,,,,OCR_VERIFIED,100.0,1
30,030_01,"Struggle First, Prompt Later: How Task Complexity Shapes Learning with GenAI-Assisted Pretesting",2025.0,Mahir Akgün; Şacip Toker,learning outcomes,cognitive,apply,,,,,,,,,OCR_VERIFIED,100.0,1
30,030_02,"Struggle First, Prompt Later: How Task Complexity Shapes Learning with GenAI-Assisted Pretesting",2025.0,Mahir Akgün; Şacip Toker,motivation,affective,,,,,,,,,,OCR_VERIFIED,100.0,1
30,030_03,"Struggle First, Prompt Later: How Task Complexity Shapes Learning with GenAI-Assisted Pretesting",2025.0,Mahir Akgün; Şacip Toker,perceived choice,affective,,,,,,,,,,OCR_VERIFIED,100.0,1
30,030_04,"Struggle First, Prompt Later: How Task Complexity Shapes Learning with GenAI-Assisted Pretesting",2025.0,Mahir Akgün; Şacip Toker,perceived value,affective,,,,,,,,,,OCR_VERIFIED,100.0,1
30,030_05,"Struggle First, Prompt Later: How Task Complexity Shapes Learning with GenAI-Assisted Pretesting",2025.0,Mahir Akgün; Şacip Toker,recall test,cognitive,remember,29.0,31.0,71.03,13.7,72.9,11.01,-0.1491,0.2587,OCR_VERIFIED,100.0,1
30,030_06,"Struggle First, Prompt Later: How Task Complexity Shapes Learning with GenAI-Assisted Pretesting",2025.0,Mahir Akgün; Şacip Toker,final test,cognitive,apply,29.0,31.0,91.85,9.52,78.59,7.62,1.523,,OCR_VERIFIED,100.0,1
31,031_01,Teaching Program Based on (ChatGPT) and Its Effectiveness in Developing Reading Comprehension Skills for English Language Students at University,2025.0,Mai Al-Otaibi; Khalid Mohamed Al-Homidhi,literal comprehension skills,cognitive,understand,30.0,30.0,8.95,1.32,8.9,1.43,0.0359,0.2582,OCR_VERIFIED,100.0,1
31,031_02,Teaching Program Based on (ChatGPT) and Its Effectiveness in Developing Reading Comprehension Skills for English Language Students at University,2025.0,Mai Al-Otaibi; Khalid Mohamed Al-Homidhi,deductive comprehension skills,cognitive,analyze,30.0,30.0,9.14,1.23,9.1,1.4,0.03,0.2582,OCR_VERIFIED,100.0,1
31,031_03,Teaching Program Based on (ChatGPT) and Its Effectiveness in Developing Reading Comprehension Skills for English Language Students at University,2025.0,Mai Al-Otaibi; Khalid Mohamed Al-Homidhi,critical comprehension skills,cognitive,evaluate,30.0,30.0,9.2,1.03,9.22,1.35,-0.0164,0.2582,OCR_VERIFIED,100.0,1
31,031_04,Teaching Program Based on (ChatGPT) and Its Effectiveness in Developing Reading Comprehension Skills for English Language Students at University,2025.0,Mai Al-Otaibi; Khalid Mohamed Al-Homidhi,aesthetic comprehension skills,cognitive,evaluate,30.0,30.0,,,,,,,OCR_VERIFIED,100.0,1
31,031_05,Teaching Program Based on (ChatGPT) and Its Effectiveness in Developing Reading Comprehension Skills for English Language Students at University,2025.0,Mai Al-Otaibi; Khalid Mohamed Al-Homidhi,creative comprehension skills,cognitive,create,30.0,30.0,,,,,,,OCR_VERIFIED,100.0,1
31,031_06,Teaching Program Based on (ChatGPT) and Its Effectiveness in Developing Reading Comprehension Skills for English Language Students at University,2025.0,Mai Al-Otaibi; Khalid Mohamed Al-Homidhi,inferential comprehension skills,cognitive,analyze,30.0,30.0,,,,,,,OCR_VERIFIED,100.0,1
32,032_01,The Effect of a Generative AI-Based Teaching Strategy on Building Students' Competency.,2025.0,Ching-Yi Chang; Wen-Song Su,knowledge,cognitive,understand,33.0,33.0,75.19,14.16,75.58,10.0,-0.0314,0.2462,VERIFIED,100.0,1
32,032_02,The Effect of a Generative AI-Based Teaching Strategy on Building Students' Competency.,2025.0,Ching-Yi Chang; Wen-Song Su,self-efficacy,affective,,33.0,33.0,4.74,0.48,3.85,0.67,1.5092,0.279,VERIFIED,100.0,1
32,032_03,The Effect of a Generative AI-Based Teaching Strategy on Building Students' Competency.,2025.0,Ching-Yi Chang; Wen-Song Su,problem solving abilities,cognitive,analyze,33.0,33.0,4.58,0.5,3.92,0.79,0.9866,0.2607,VERIFIED,100.0,1
32,032_04,The Effect of a Generative AI-Based Teaching Strategy on Building Students' Competency.,2025.0,Ching-Yi Chang; Wen-Song Su,decision-making skills,cognitive,evaluate,33.0,33.0,4.46,0.51,3.82,0.71,1.0232,0.2618,VERIFIED,100.0,1
33,033_01,The Impact of Media Literacy on Developing Media Students' Skills in Verifying AI-Generated Images Published on Social Media Platforms,2025.0,Haneen Saad Salman; Farid Saleh Fayyad,Access Skill,cognitive,access,30.0,,4.47,1.17,2.87,1.01,,,OCR_VERIFIED,100.0,1
